_id,body,rating.authoritative,rating.threatening,rating.rewarding,rating.unnatural,rating.emotional,rating.provoking,rating.timesensitive,rating.imperative
64e394aa5c0aa5be4e141c82,"*This message was transferred with a trial version of CommuniGate(tm) Pro*\nFree Debt Consolidation InformationFree 1 Minute Debt Consolidation Quote\n* Quickly and easily reduce Your Monthly Debt Payments Up To 60% \nWe are a 501c Non-Profit Organization that has helped 1000's consolidate their debts into one easy affordable monthly payment. For a Free - No Obligation quote to see how much money we can save you, please read on.Become Debt Free...Get Your Life Back On Track!All credit accepted and home \nownership is NOT required.\n Not Another Loan To Dig You Deeper In To Debt!Â• 100% Confidential - No Obligation - Free Quote Â• Free Debt Consolidation Quote\nIf you have $4000 or more in debt, a trained professional will negotiate with your creditors to:Lower your monthly debt payments up to 60%End creditor harassmentSave thousands of dollars in interest and late chargesStart improving your credit ratingComplete\nOur QuickForm and Submit it for Your Free Analysis.\nName Street Address \nCity State / Zip  Alabama\n Alaska\n Arizona\n Arkansas\n California\n Colorado\n Connecticut\n Delaware\n Dist of Columbia\n Florida\n Georgia\n Hawaii\n Idaho\n Illinois\n Indiana\n Iowa\n Kansas\n Kentucky\n Louisiana\n Maine\n Maryland\n Massachusetts\n Michigan\n Minnesota\n Mississippi\n Missouri\n Montana\n Nebraska\n Nevada\n New Hampshire\n New Jersey\n New Mexico\n New York\n North Carolina\n North Dakota\n Ohio\n Oklahoma\n Oregon\n Pennsylvania\n Rhode Island\n South Carolina\n South Dakota\n Tennessee\n Texas\n Utah\n Vermont\n Virginia\n Washington\n West Virginia\n Wisconsin\n Wyoming \nHome Phone (with area code) Work Phone (with area code) Best\nTime To Contact Morning at Home\nMorning at Work\nAfternoon at Home\nAfternoon at Work\nEvening at Home\nEvening at Work \nWeekend\nEmail\naddress \nTotal\nDebt $4000 - $4999\n$5000 - $7500\n$7,501 - $10,000\n$10,001 - $12,500\n$12,501 - $15,000\n$15,001 - $17,500\n$17,501 - $20,000\n$20,001 - $22,500\n$22,501 - $25,000\n$25,001 - $27,500\n$27,501 - $30,000\n$30,001 - $35,000\n$35,001 - $40,000\n$45,001 - $50,000\n$50,000+Please click the submit button\njust once - process will take 30-60 seconds.\nOr, please reply to the email with the following for your Free Analysis\nName:__________________________\nAddress:________________________\nCity:___________________________\nState:_____________ Zip:_________\nHome Phone:(___) ___-____    \nWork Phone:(___) ___-____    \nBest Time:_______________________\nEmail:___________________________\nTotal Debt:______________________\nNot Interested?  Please send and email to jayshilling4792@excite.commamrfitxhidjpfxo\nhttp://xent.com/mailman/listinfo/fork\n",0,0,1,0,0,0,0,0
64e394aa5c0aa5be4e141c83,"URL: http://www.newsisfree.com/click/-4,8268029,1717/\nDate: 2002-09-26T08:22:40+01:00[IMG: http://www.newsisfree.com/Images/fark/azcentral.gif ([AZCentral])]\n",0,0,0,0,0,0,0,0
64e394aa5c0aa5be4e141c84,"""eBay - #1 Rated Work At Home Business \n        Opportunity""\n        - PC Magazine\nFortunes are literally being made in \n        this great new marketplace!\nOver $9 Billion \n        in merchandise was sold on eBay in 2001 by people just like you \n        - right from their homes.\nNow you too can learn the secrets of successful \n        selling on eBay and make a staggering income from the \n        comfort of your own home. If you are motivated, capable \n        of having an open mind, and can follow simple directions, then \n        visit us here.\n We are strongly against sending unsolicited \n        emails to those who do not wish to receive our special mailings. You have \n        opted in to one or more of our affiliate sites requesting to be notified \n        of any special offers we may run from time to time. We also have attained \n        the services of an independent 3rd party to overlook list management and \n        removal services. This is NOT unsolicited email. If you do not wish to \n        receive further mailings, please GO \n        HERE to be removed from the list. Please accept our apologies if you \n        have been sent this email in error. Â \nÂ  \nÂ \nÂ  \n",0,0,1,0,0,0,0,0
64e394aa5c0aa5be4e141c85,FIND OUT WHO THEY ARE CHATTING/E-MAILING WITH ALL THOSE HOURS!Is your spouse cheating online? Are your kids talking to dangerous people on instant messenger?\n   \nFind out NOW! - with Big Brother instant software download.\nClick on this link NOW to see actual screenshots and to order!\nhttp://213.139.76.142/bigbro/index.asp?Afft=M30To be excluded from future contacts please visit:\nhttp://213.139.76.69/PHP/remove.php\njthomason\n,0,0,0,0,0,1,1,0
64e394aa5c0aa5be4e141c86,"-----BEGIN PGP SIGNED MESSAGE-----Vincent Cunniffe wrote:\n| Justin MacCarthy wrote:\n|\n|> I think I'll ask this question again, as I sent on friday afternoon.\n  :-)\n|\n|\n| Mailman ;-)\n|\n| Trust me, you do *not* want to running your own mailing lists\n| on your own software.\n|\n| You'll wind up crying in a dark room looking for something\n| high-voltage to stick your fingers into.All things considered, I get that effect with Mailman, but the viable\nalternatives are ezmlm, which is loonware and I'm avoiding on principle,\nand majordomo, which seems to have stagnated. Oh, and there's apparently\nsomething called SmartList which is a bitch to set up.Waider.\n- --\nwaider@waider.ie / Yes, it /is/ very personal of me\n-----BEGIN PGP SIGNATURE-----\nVersion: GnuPG v1.0.6 (GNU/Linux)\nComment: Using GnuPG with Mozilla - http://enigmail.mozdev.orgiQEVAwUBPXNE16HbXyzZsAb3AQH2KQf/XqeOMaHNXAlzbmgd5iYd9VQaAgWAR2DQ\nkdpz0NbECR2OS7PJoLY9lsPKgNshpJcDZIRsxJvXmfp5YRNq0AyP0HGGwRvWgjgB\n0N9HG/Rgez7S5RhU79RAuhpFb9XO1XzMI0gSkDHSGefQsUOAZ69vZVLLsiRiyHFy\n4u+vrPVTP0rYR7haX41JXu42GVWfT2K2DDFftAimqGCsJnu2MXcMI/Ptq1rtxhXD\nWZhxCR+FAwirEk8Yz9Drl8+gJL0YJQFSoWumQzqLKKutx1lJvv7OS4yDjGRaQpxm\nJmq8lifudZayccbixx7ZcXMSlpP4C45Wj5XJSYW8RCjU1bgxTqhMbQ==\n=eG8X\n-----END PGP SIGNATURE-----\n-- \nIrish Linux Users' Group: ilug@linux.ie\nhttp://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.\nList maintainer: listmaster@linux.ie",0,0,0,0,0,0,0,0
64e394aa5c0aa5be4e141c87,"Lowest rates available for term life insurance! Take a moment and fill out our online form to see the low rate you qualify for. Save up to 70% from regular rates! Smokers accepted! http://www.takemetothesavings.com/termlife/ \n       \n Representing quality nationwide carriers. Act now!\n      \n      \n      \n      \n      \n ---------------------------------------\n To unsubscribe, go to: \n http://www.takemetothesavings.com/stopthemailplease/\n Please allow 48-72 hours for removal.",0,0,1,0,0,0,1,0
64e394aa5c0aa5be4e141c88,empty,0,0,0,0,0,0,0,0
64e394aa5c0aa5be4e141c89,"On Wed, Jul 31, 2002 at 12:02:01PM +0100, Satelle, StevenX mentioned:\n> I dislike being forced to learn something and mostly refuse to do it.  Did you burn yourself often, as a child ?John\n-- \nIrish Linux Users' Group: ilug@linux.ie\nhttp://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.\nList maintainer: listmaster@linux.ie\n",0,0,0,0,0,0,0,0
64e394aa5c0aa5be4e141c8a,"use Perl Daily NewsletterIn this issue:\n    * TPJ Ceases Publication+--------------------------------------------------------------------+\n| TPJ Ceases Publication                                             |\n|   posted by hfb on Friday August 16, @21:17 (news)                 |\n|   http://use.perl.org/article.pl?sid=02/08/17/0118230              |\n+--------------------------------------------------------------------+[0]TorgoX writes ""Bad news, folks: [1]SysAdmin is stopping publishing The\nPerl Journal. I just heard from the SysAdmin editors. Ad revenues are\ndown so much that all tech mags are apparently in dire straits, and\nSysAdmin has basically been taking a big loss on TPJ for a while now; and\nthe money people say that it just can't keep doing that. So the issue\nthat's in the mail now is apparently [2]the last.""Discuss this story at:\n    http://use.perl.org/comments.pl?sid=02/08/17/0118230Links:\n    0. http://%7Bsburke%7D%20%7Bat%7D%20%7Bcpan.org%7D\n    1. http://www.sysadminmag.com/\n    2. http://www.sysadminmag.com/tpj/images/covers/issue25.jpgCopyright 1997-2002 pudge.  All rights reserved.\n======================================================================You have received this message because you subscribed to it\non use Perl.  To stop receiving this and other\nmessages from use Perl, or to add more messages\nor change your preferences, please go to your user page.	http://use.perl.org/my/messages/You can log in and change your preferences from there.",0,0,0,0,0,0,0,0
64e394aa5c0aa5be4e141c8b,URL: http://jeremy.zawodny.com/blog/archives/000205.html\nDate: 2002-09-30T23:14:34-08:00Watch out Yahoo Shopping and other shopping meta-sites. Google is at it again \nwith Google Catalogs. The only question in mind mind is this: Will it hit big \nthis Christmas shopping season or next year? Google Product Search and \nRatings....\n,0,0,0,0,0,0,0,0
